0:1:1:3:4	Leaf terminal cluster 0:1:1:3:4	Leaf terminal cluster 0:1:1:3:4
0:69	Leaf terminal cluster 0:69	Leaf terminal cluster 0:69
0:2:2:1:1:55	Leaf terminal cluster 0:2:2:1:1:55	Leaf terminal cluster 0:2:2:1:1:55
0:1:3:117	Leaf terminal cluster 0:1:3:117	Leaf terminal cluster 0:1:3:117
0:2:2:2:12	Leaf terminal cluster 0:2:2:2:12	Leaf terminal cluster 0:2:2:2:12
0:2:2:9:3:4	Leaf terminal cluster 0:2:2:9:3:4	Leaf terminal cluster 0:2:2:9:3:4
0:1:4:18	Leaf terminal cluster 0:1:4:18	Leaf terminal cluster 0:1:4:18
0:2:2:2:77	Leaf terminal cluster 0:2:2:2:77	Leaf terminal cluster 0:2:2:2:77
0:1:3:107	Leaf terminal cluster 0:1:3:107	Leaf terminal cluster 0:1:3:107
0:1:4:73	Leaf terminal cluster 0:1:4:73	Leaf terminal cluster 0:1:4:73
0:2:2:1:1:35:2	Leaf terminal cluster 0:2:2:1:1:35:2	Leaf terminal cluster 0:2:2:1:1:35:2
0:1:3:44	Leaf terminal cluster 0:1:3:44	Leaf terminal cluster 0:1:3:44
0:2:2:1:2:18	Leaf terminal cluster 0:2:2:1:2:18	Leaf terminal cluster 0:2:2:1:2:18
0:1:1:227	Leaf terminal cluster 0:1:1:227	Leaf terminal cluster 0:1:1:227
0:1:6:13	Leaf terminal cluster 0:1:6:13	Leaf terminal cluster 0:1:6:13
0:265	Leaf terminal cluster 0:265	Leaf terminal cluster 0:265
0:2:2:17:6	Leaf terminal cluster 0:2:2:17:6	Leaf terminal cluster 0:2:2:17:6
0:2:1:1:26	Leaf terminal cluster 0:2:1:1:26	Leaf terminal cluster 0:2:1:1:26
0:79	Leaf terminal cluster 0:79	Leaf terminal cluster 0:79
0:2:2:14:3:1	Leaf terminal cluster 0:2:2:14:3:1	Leaf terminal cluster 0:2:2:14:3:1
0:2:2:17:8	Leaf terminal cluster 0:2:2:17:8	Leaf terminal cluster 0:2:2:17:8
0:2:2:7:8	Leaf terminal cluster 0:2:2:7:8	Leaf terminal cluster 0:2:2:7:8
0:1:3:76	Leaf terminal cluster 0:1:3:76	Leaf terminal cluster 0:1:3:76
0:2:2:3:23	Leaf terminal cluster 0:2:2:3:23	Leaf terminal cluster 0:2:2:3:23
0:2:2:2:58	Leaf terminal cluster 0:2:2:2:58	Leaf terminal cluster 0:2:2:2:58
0:2:2:9:4:4	Leaf terminal cluster 0:2:2:9:4:4	Leaf terminal cluster 0:2:2:9:4:4
0:1:1:205	Leaf terminal cluster 0:1:1:205	Leaf terminal cluster 0:1:1:205
0:255	Leaf terminal cluster 0:255	Leaf terminal cluster 0:255
0:1:11:5	Leaf terminal cluster 0:1:11:5	Leaf terminal cluster 0:1:11:5
0:385	Leaf terminal cluster 0:385	Leaf terminal cluster 0:385
0:2:1:2:34	Leaf terminal cluster 0:2:1:2:34	Leaf terminal cluster 0:2:1:2:34
0:1:3:121	Leaf terminal cluster 0:1:3:121	Leaf terminal cluster 0:1:3:121
0:2:2:3:29	Leaf terminal cluster 0:2:2:3:29	Leaf terminal cluster 0:2:2:3:29
0:72	Leaf terminal cluster 0:72	Leaf terminal cluster 0:72
0:366	Leaf terminal cluster 0:366	Leaf terminal cluster 0:366
0:2:2:7	Leaf terminal cluster 0:2:2:7	Leaf terminal cluster 0:2:2:7
0:2:1:1:167	Leaf terminal cluster 0:2:1:1:167	Leaf terminal cluster 0:2:1:1:167
0:2:2:11:16	Leaf terminal cluster 0:2:2:11:16	Leaf terminal cluster 0:2:2:11:16
0:1:5:26	Leaf terminal cluster 0:1:5:26	Leaf terminal cluster 0:1:5:26
0:1:4	Leaf terminal cluster 0:1:4	Leaf terminal cluster 0:1:4
0:1:3:50	Leaf terminal cluster 0:1:3:50	Leaf terminal cluster 0:1:3:50
0:1:1:210	Leaf terminal cluster 0:1:1:210	Leaf terminal cluster 0:1:1:210
0:2:1:1:102	Leaf terminal cluster 0:2:1:1:102	Leaf terminal cluster 0:2:1:1:102
0:1:5:87:1	Leaf terminal cluster 0:1:5:87:1	Leaf terminal cluster 0:1:5:87:1
0:2:2:6:2:7	Leaf terminal cluster 0:2:2:6:2:7	Leaf terminal cluster 0:2:2:6:2:7
0:1:3:153	Leaf terminal cluster 0:1:3:153	Leaf terminal cluster 0:1:3:153
0:1:4:21	Leaf terminal cluster 0:1:4:21	Leaf terminal cluster 0:1:4:21
0:1:1:168	Leaf terminal cluster 0:1:1:168	Leaf terminal cluster 0:1:1:168
0:1:10:3	Leaf terminal cluster 0:1:10:3	Leaf terminal cluster 0:1:10:3
0:381	Leaf terminal cluster 0:381	Leaf terminal cluster 0:381
0:2:1:1:58	Leaf terminal cluster 0:2:1:1:58	Leaf terminal cluster 0:2:1:1:58
0:2:1:1:285	Leaf terminal cluster 0:2:1:1:285	Leaf terminal cluster 0:2:1:1:285
0:7:1	Leaf terminal cluster 0:7:1	Leaf terminal cluster 0:7:1
0:2:2:9:2	Leaf terminal cluster 0:2:2:9:2	Leaf terminal cluster 0:2:2:9:2
0:2:2:14:1:2	Leaf terminal cluster 0:2:2:14:1:2	Leaf terminal cluster 0:2:2:14:1:2
0:2:2:9:3	Leaf terminal cluster 0:2:2:9:3	Leaf terminal cluster 0:2:2:9:3
0:1:1:3:27	Leaf terminal cluster 0:1:1:3:27	Leaf terminal cluster 0:1:1:3:27
0:2:2:1:3	Leaf terminal cluster 0:2:2:1:3	Leaf terminal cluster 0:2:2:1:3
0:2:2:5:2:6	Leaf terminal cluster 0:2:2:5:2:6	Leaf terminal cluster 0:2:2:5:2:6
0:1:2:1	Leaf terminal cluster 0:1:2:1	Leaf terminal cluster 0:1:2:1
0:2:1:1:157	Leaf terminal cluster 0:2:1:1:157	Leaf terminal cluster 0:2:1:1:157
0:2:1:1:86	Leaf terminal cluster 0:2:1:1:86	Leaf terminal cluster 0:2:1:1:86
0:2:2:3:37	Leaf terminal cluster 0:2:2:3:37	Leaf terminal cluster 0:2:2:3:37
0:2:1:1:320	Leaf terminal cluster 0:2:1:1:320	Leaf terminal cluster 0:2:1:1:320
0:2:2:5:4:2	Leaf terminal cluster 0:2:2:5:4:2	Leaf terminal cluster 0:2:2:5:4:2
0:11:2	Leaf terminal cluster 0:11:2	Leaf terminal cluster 0:11:2
0:2:1:1:240	Leaf terminal cluster 0:2:1:1:240	Leaf terminal cluster 0:2:1:1:240
0:2:1:1:32:2	Leaf terminal cluster 0:2:1:1:32:2	Leaf terminal cluster 0:2:1:1:32:2
0:2:2:3:2	Leaf terminal cluster 0:2:2:3:2	Leaf terminal cluster 0:2:2:3:2
0:2:2:5:3:3:4	Leaf terminal cluster 0:2:2:5:3:3:4	Leaf terminal cluster 0:2:2:5:3:3:4
0:1:5:79	Leaf terminal cluster 0:1:5:79	Leaf terminal cluster 0:1:5:79
0:2:2:9:1	Leaf terminal cluster 0:2:2:9:1	Leaf terminal cluster 0:2:2:9:1
0:1:4:60:3	Leaf terminal cluster 0:1:4:60:3	Leaf terminal cluster 0:1:4:60:3
0:215	Leaf terminal cluster 0:215	Leaf terminal cluster 0:215
0:354	Leaf terminal cluster 0:354	Leaf terminal cluster 0:354
0:2:1:1:198	Leaf terminal cluster 0:2:1:1:198	Leaf terminal cluster 0:2:1:1:198
0:1:2:89	Leaf terminal cluster 0:1:2:89	Leaf terminal cluster 0:1:2:89
0:1:1:3:11	Leaf terminal cluster 0:1:1:3:11	Leaf terminal cluster 0:1:1:3:11
0:2:2:2:41	Leaf terminal cluster 0:2:2:2:41	Leaf terminal cluster 0:2:2:2:41
